Gene,Pathogenic,Likely pathogenic,VUS,Likely benign,Benign,GTR_tests,Disease,B_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted
ULK1,0,0,0,2,11,1,NA,non-essential,non-essential,Yes,FIP200-ULK1-ATG13-ATG101 complex,No,NA,47.16330919,no,No
VPS16,0,0,0,1,0,2,NA,non-essential,non-essential,Yes,Hook1-Vps16 complex,No,NA,48.99172651,no,No
VPS41,0,0,0,0,1,1,NA,non-essential,non-essential,Yes,Hook2-Vps41 complex,No,NA,49.54085346,no,No
WDFY2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,Yes,AKT1-FOXO1-WDFY2 complex,No,NA,46.27759791,no,No
XPA,8,14,27,20,5,62,Xeroderma pigmentosum group A,non-essential,non-essential,Yes,ERCC1-RPA1-XPA complex,No,NA,44.98874833,no,No
ZC3H12D,0,0,0,1,1,1,NA,non-essential,non-essential,Yes,MCPIP1-MCPIP4 complex,No,NA,47.66368931,no,No
ZFP36L2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,Yes,HNRNPD(p45)-ZFP36L2 complex,No,NA,48.3964309,no,No
ZMYM2,0,0,2,1,7,3,NA,non-essential,non-essential,Yes,BHC110 complex,No,NA,46.28120214,no,No
ZNF516,0,0,0,1,3,1,NA,non-essential,non-essential,Yes,BHC110 complex,No,NA,47.11827358,no,No
AATF,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.34,46.58229968,no,No
ACTR8,0,0,0,0,1,1,NA,Essential,Essential,No,NA,Yes,3.66,44.08994438,no,No
BYSL,0,0,0,0,1,1,NA,Essential,Essential,No,NA,Yes,4.85,48.61406788,no,No
C21orf59,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.84,45.70278129,no,No
CDCA5,0,0,0,2,5,1,NA,Essential,Essential,No,NA,Yes,2.61,49.68483055,no,No
CKAP5,0,0,2,0,0,1,NA,Essential,Essential,No,NA,Yes,3.38,46.60313273,no,No
CTNNBL1,0,0,0,1,0,1,NA,Essential,Essential,No,NA,Yes,3.17,45.06994912,no,No
DDX54,0,4,1,0,2,1,NA,Essential,Essential,No,NA,Yes,3.64,49.25998843,no,No
DDX55,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.86,49.01822045,no,No
DHX16,0,4,0,1,3,1,NEUROMUSCULAR OCULOAUDITORY SYNDROME,Essential,Essential,No,NA,Yes,4.63,49.12008986,no,No
DTL,0,0,0,0,1,1,NA,Essential,Essential,No,NA,Yes,3.73,48.82705752,no,No
FIP1L1,0,0,3,1,1,3,NA,Essential,Essential,No,NA,Yes,3.42,45.95854983,no,No
FTSJ3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.98,46.12032536,no,No
GPKOW,0,0,0,3,1,2,NA,Essential,Essential,No,NA,Yes,5.31,47.97342484,no,No
HEATR1,0,0,0,5,10,1,NA,Essential,Essential,No,NA,Yes,3.09,47.73852424,no,No
ISG20L2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.98,48.72721687,no,No
LARS2,6,13,19,48,39,76,"Hydrops, lactic acidosis, and sideroblastic anemia",Essential,Essential,No,NA,Yes,3.25,48.72480602,no,No
LAS1L,0,4,19,14,2,44,Wilson-Turner X-linked mental retardation syndrome,Essential,Essential,No,NA,Yes,3.62,47.00709394,no,No
MRPL22,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.56,50.29164062,no,No
MRPL38,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.84,50.66504596,no,No
MRPL44,1,1,5,11,11,43,NA,Essential,Essential,No,NA,Yes,2.62,49.91985121,no,No
MRPL9,0,0,0,0,1,2,NA,Essential,Essential,No,NA,Yes,2.62,50.33764542,no,No
MRPS23,0,0,0,0,1,4,NA,Essential,Essential,No,NA,Yes,3.18,49.78672632,no,No
MRPS24,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.89,51.01019365,no,No
MRPS25,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.85,49.82578587,no,No
MRPS6,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.39,48.81145569,no,No
NKAP,5,0,0,0,1,0,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE",Essential,Essential,No,NA,Yes,4.37,46.96418455,no,No
NOC4L,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.33,46.79332746,no,No
NOL10,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.67,49.18058705,no,No
PAK1IP1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.08,53.91945175,no,No
PPIL2,0,0,0,0,1,3,NA,Essential,Essential,No,NA,Yes,4.07,47.25805905,no,No
PPIL4,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,4.97,49.13631544,no,No
PRC1,0,0,19,0,1,1,NA,Essential,Essential,No,NA,Yes,2.9,45.45247064,no,No
PRKRIR,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.46,49.26152038,no,No
PTPMT1,0,0,0,0,1,2,NA,Essential,Essential,No,NA,Yes,2.72,50.68106732,no,No
QARS,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,5.48,48.19035236,no,No
RANGAP1,0,0,0,0,2,2,NA,Essential,Essential,No,NA,Yes,4.51,49.59383214,no,No
RBM17,0,0,0,0,1,1,NA,Essential,Essential,No,NA,Yes,4.51,47.11364268,no,No
RBM19,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.19,43.82305072,no,No
RCC1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,5.56,47.50366907,no,No
RNGTT,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.67,46.98154306,no,No
RPUSD4,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,4.15,49.51214788,no,No
SNIP1,2,0,3,9,2,21,NA,Essential,Essential,No,NA,Yes,4.88,43.33925588,no,No
SSU72,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.61,48.56169046,no,No
STX18,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,3.66,49.38935644,no,No
TBCD,12,10,21,31,25,19,"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum",Essential,Essential,No,NA,Yes,3.51,50.57560121,no,No
TBCE,2,3,43,26,9,70,Autosomal recessive Kenny-Caffey syndrome,Essential,Essential,No,NA,Yes,5.99,47.77310991,no,No
TRUB2,0,0,0,0,1,2,NA,Essential,Essential,No,NA,Yes,3.44,48.13583335,no,No
UBL5,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,2.25,49.36257999,no,No
UTP14A,0,0,0,0,1,1,NA,Essential,Essential,No,NA,Yes,3.42,53.2394268,no,No
WDR33,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,Yes,1.65,47.67488997,no,No
XPO5,0,0,1,0,3,7,NA,Essential,Essential,No,NA,Yes,2.6,49.2133947,no,No
YARS2,5,9,31,34,7,70,"Myopathy, lactic acidosis, and sideroblastic anemia 2",Essential,Essential,No,NA,Yes,2.97,46.71602405,no,No
ZZZ3,0,0,1,0,2,1,NA,Essential,Essential,No,NA,Yes,2.75,46.14284956,no,No
ACTR6,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.43,47.56400312,no,No
AEBP2,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.16,47.6409464,no,No
ANKHD1,0,0,0,0,1,1,NA,non-essential,Essential,No,NA,Yes,3.69,44.45650664,no,No
ANLN,2,0,8,3,8,25,Focal segmental glomerulosclerosis 8,non-essential,Essential,No,NA,Yes,3.88,46.35064518,no,No
APEX1,0,0,2,5,3,3,NA,non-essential,Essential,No,NA,Yes,4.34,49.64062484,no,No
APEX2,0,0,0,2,3,2,NA,non-essential,Essential,No,NA,Yes,3.42,45.50482006,no,No
CCNF,0,1,1,13,10,2,NA,non-essential,Essential,No,NA,Yes,2.72,47.36488905,no,No
CCNL1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.93,46.68423262,no,No
CLASP2,0,0,0,3,5,2,NA,non-essential,Essential,No,NA,Yes,3.7,48.73630208,no,No
CNOT10,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.95,49.21412686,no,No
CNOT2,1,0,0,0,0,3,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH NASAL SPEECH, DYSMORPHIC FACIES, AND VARIABLE SKELETAL ANOMALIES",non-essential,Essential,No,NA,Yes,4.55,48.8229808,no,No
CSDE1,0,0,0,0,6,3,NA,non-essential,Essential,No,NA,Yes,3.95,47.03971062,no,No
DDX19A,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,6.63,49.60543764,no,No
DHFR,2,0,1,4,2,46,Megaloblastic anemia due to dihydrofolate reductase deficiency,non-essential,Essential,No,NA,Yes,3.09,47.38757299,no,No
EIF5A,0,0,0,1,0,1,NA,non-essential,Essential,No,NA,Yes,4.72,49.47799869,no,No
ERAL1,1,0,0,0,0,8,Perrault syndrome,non-essential,Essential,No,NA,Yes,3.59,47.31410824,no,No
FAM60A,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.48,45.7494411,no,No
FDPS,2,1,2,1,0,9,NA,non-essential,Essential,No,NA,Yes,4.06,49.90924077,no,No
FDXR,4,4,9,0,9,16,NA,non-essential,Essential,No,NA,Yes,4,50.14552915,no,No
FGFR1OP,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,5.5,48.95537371,no,No
FOXP1,29,15,66,70,9,65,Mental retardation with language impairment and with or without autistic features,non-essential,Essential,No,NA,Yes,2.77,44.82163407,no,No
GNL3L,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.15,46.58692415,no,No
HK2,0,0,0,2,2,4,NA,non-essential,Essential,No,NA,Yes,3.94,47.6618328,no,No
KIF2C,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.83,48.16505158,no,No
KPNA6,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.13,47.79826419,no,No
LRRC41,0,0,0,2,1,1,NA,non-essential,Essential,No,NA,Yes,2.88,46.53693697,no,No
MAEA,0,0,0,0,2,1,NA,non-essential,Essential,No,NA,Yes,4.88,50.23720328,no,No
MBIP,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.65,46.80148552,no,No
MCRS1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.05,45.9889862,no,No
MIPEP,1,2,14,11,16,12,NA,non-essential,Essential,No,NA,Yes,4.58,50.4435954,no,No
MKI67IP,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.33,50.0985482,no,No
MRPL1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.32,48.57180799,no,No
MRPL11,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.45,49.45021372,no,No
MRPL3,2,0,5,10,14,54,NA,non-essential,Essential,No,NA,Yes,3.33,49.71508924,no,No
MRPL33,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,1.92,50.00883068,no,No
MRPS10,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.21,50.16127658,no,No
MRPS28,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.03,49.55965936,no,No
MRPS30,0,0,1,0,0,2,NA,non-essential,Essential,No,NA,Yes,3.4,49.37697569,no,No
MRPS35,0,0,0,0,3,2,NA,non-essential,Essential,No,NA,Yes,3.01,49.8275703,no,No
MRPS7,0,1,0,15,6,14,NA,non-essential,Essential,No,NA,Yes,3.28,49.46632299,no,No
MRRF,0,0,1,0,0,7,NA,non-essential,Essential,No,NA,Yes,3.17,49.33864938,no,No
MTERFD1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.02,48.4144397,no,No
MYBL2,0,0,0,0,5,2,NA,non-essential,Essential,No,NA,Yes,2.51,45.86003483,no,No
NSUN4,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.21,49.90446299,no,No
NUDCD3,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.18,50.21069056,no,No
NUFIP1,0,0,0,4,5,1,NA,non-essential,Essential,No,NA,Yes,3.66,46.81047542,no,No
PCM1,0,0,1,9,9,4,NA,non-essential,Essential,No,NA,Yes,2.06,48.13678185,no,No
PDPK1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.19,49.50315492,no,No
PLCL2,0,0,0,0,2,1,NA,non-essential,Essential,No,NA,Yes,4.52,48.84631728,no,No
POLR3E,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.37,47.69034122,no,No
PRKRA,1,0,39,12,10,49,NA,non-essential,Essential,No,NA,Yes,3.83,49.6969424,no,No
PRPF38A,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,4.62,45.46123743,no,No
RAD17,0,0,0,1,0,0,NA,non-essential,Essential,No,NA,Yes,4.29,45.58282024,no,No
RASSF8,0,0,0,2,1,1,NA,non-essential,Essential,No,NA,Yes,4.76,47.6698163,no,No
RBM10,4,2,8,13,5,41,NA,non-essential,Essential,No,NA,Yes,3.26,46.84736874,no,No
RBM5,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,5.38,44.36587678,no,No
RHOH,0,0,3,6,2,18,NA,non-essential,Essential,No,NA,Yes,2.07,44.40825064,no,No
RNPS1,0,0,0,1,1,1,NA,non-essential,Essential,No,NA,Yes,5.51,45.92171588,no,No
SLBP,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.6,47.79915146,no,No
TARDBP,14,6,62,17,7,81,Amyotrophic lateral sclerosis,non-essential,Essential,No,NA,Yes,2.12,44.35072501,no,No
TBRG4,0,0,0,0,2,2,NA,non-essential,Essential,No,NA,Yes,3.57,46.49265897,no,No
TRIT1,0,2,5,3,3,29,Combined oxidative phosphorylation deficiency,non-essential,Essential,No,NA,Yes,2.99,47.42397091,no,No
TRNT1,8,1,49,29,21,64,NA,non-essential,Essential,No,NA,Yes,1.66,50.41742903,no,No
UBE2T,2,0,0,1,0,28,NA,non-essential,Essential,No,NA,Yes,2.15,49.1891697,no,No
VPS72,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,3.45,50.49854889,no,No
WAC,17,2,6,10,8,22,Desanto-shinawi syndrome,non-essential,Essential,No,NA,Yes,3.39,46.91354238,no,No
WDR62,15,7,195,82,58,102,Primary autosomal recessive microcephaly 2,non-essential,Essential,No,NA,Yes,5.4,48.28914051,no,No
ZC3HC1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,Yes,2.88,49.33848333,no,No
ZNF687,2,0,2,9,12,6,Paget disease of bone 6,non-essential,Essential,No,NA,Yes,3.52,46.62480783,no,No
CPSF4,0,0,0,0,1,2,NA,Essential,non-essential,No,NA,Yes,3.45,47.42900439,no,No
DHX37,6,7,1,4,9,3,"46,XY sex reversal 11",Essential,non-essential,No,NA,Yes,1.97,48.59293276,no,No
KTI12,NA,NA,NA,NA,NA,NA,NA,Essential,non-essential,No,NA,Yes,4.51,48.62314872,no,No
MAD2L2,1,0,0,5,6,21,"Fanconi anemia, complementation group V",Essential,non-essential,No,NA,Yes,4.42,48.46226906,no,No
MRPL53,NA,NA,NA,NA,NA,NA,NA,Essential,non-essential,No,NA,Yes,2.68,50.94117362,no,No
MRPS11,NA,NA,NA,NA,NA,NA,NA,Essential,non-essential,No,NA,Yes,2.51,50.34453556,no,No
MRPS2,3,0,0,0,0,10,NA,Essential,non-essential,No,NA,Yes,3.91,49.36772049,no,No
PELO,NA,NA,NA,NA,NA,NA,NA,Essential,non-essential,No,NA,Yes,4.1,47.15075111,no,No
TXNL4B,NA,NA,NA,NA,NA,NA,NA,Essential,non-essential,No,NA,Yes,3.29,50.76662764,no,No
ZNF408,2,4,29,13,8,42,Retinitis pigmentosa 72,Essential,non-essential,No,NA,Yes,3.36,46.80245462,no,No
AASDH,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,1.58,47.95162562,no,No
ABCF3,0,0,1,0,0,1,NA,non-essential,non-essential,No,NA,Yes,5.63,46.46345377,no,No
ABHD11,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.41,48.87681352,no,No
ABLIM1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,5.58,47.60800763,no,No
ACBD5,2,1,16,1,3,18,RETINAL DYSTROPHY WITH LEUKODYSTROPHY,non-essential,non-essential,No,NA,Yes,4.02,47.10098403,no,No
ACSM3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.23,47.31590376,no,No
ACVR1,8,3,30,16,25,62,Progressive myositis ossificans,non-essential,non-essential,No,NA,Yes,2.48,50.13625669,no,No
ADAT1,0,0,1,0,0,1,NA,non-essential,non-essential,No,NA,Yes,3.86,46.34331012,no,No
ADCK4,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.73,47.98531148,no,No
AK7,1,1,0,0,4,13,SPERMATOGENIC FAILURE 27,non-essential,non-essential,No,NA,Yes,4.34,48.10789328,no,No
AKAP10,0,0,1,0,0,7,Conduction disorder of the heart,non-essential,non-essential,No,NA,Yes,3.65,47.41555442,no,No
AKR1C2,5,0,0,0,1,17,"46,XY sex reversal 8",non-essential,non-essential,No,NA,Yes,4.07,48.65061494,no,No
ALDH6A1,6,0,53,16,30,31,Methylmalonate semialdehyde dehydrogenase deficiency,non-essential,non-essential,No,NA,Yes,3.72,50.7128123,no,No
ALS2,16,16,168,49,23,93,Amyotrophic lateral sclerosis,non-essential,non-essential,No,NA,Yes,3.56,50.47614411,no,No
AMOTL2,0,0,0,0,3,1,NA,non-essential,non-essential,No,NA,Yes,5.14,45.41668582,no,No
ANGEL2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.74,47.98515109,no,No
ANKRD10,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.19,47.51318219,no,No
ANKRD22,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,1.71,48.50333864,no,No
APTX,11,5,50,19,7,125,Ataxia-oculomotor apraxia type 1,non-essential,non-essential,No,NA,Yes,3.96,46.1623118,no,No
ARFGAP1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,4.63,49.0010421,no,No
ARHGAP17,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,5.32,48.20673197,no,No
ARHGAP19,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.68,45.14836452,no,No
ARHGAP28,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,Yes,2.49,48.23598571,no,No
ARHGAP29,4,0,3,8,7,3,NA,non-essential,non-essential,No,NA,Yes,2.12,48.56645533,no,No
ARHGEF10,1,1,25,16,28,20,"Slowed nerve conduction velocity, autosomal dominant",non-essential,non-essential,No,NA,Yes,2.92,48.50823951,no,No
ARHGEF15,0,0,79,43,28,10,NA,non-essential,non-essential,No,NA,Yes,3.47,46.46415707,no,No
ARHGEF16,0,0,0,0,3,1,NA,non-essential,non-essential,No,NA,Yes,4.23,47.61859917,no,No
ARHGEF5,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.65,49.87543518,no,No
ARL6IP4,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.52,53.26760736,no,No
ARMC5,6,0,2,25,21,14,Acth-independent macronodular adrenal hyperplasia 2,non-essential,non-essential,No,NA,Yes,3.35,44.45151579,no,No
ARMCX1,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,Yes,2.23,48.8332874,no,No
ARMCX3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.37,48.16553911,no,No
ARRB2,0,0,0,0,2,1,NA,non-essential,non-essential,No,NA,Yes,3.84,50.31660575,no,No
ASB3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.82,45.88090123,no,No
ASB9,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,5.13,49.11053448,no,No
ASMTL,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,4.39,49.56430132,no,No
ATAD3B,0,0,0,3,4,7,NA,non-essential,non-essential,No,NA,Yes,3.27,49.40407899,no,No
ATF6,7,2,11,8,8,30,Achromatopsia 7,non-essential,non-essential,No,NA,Yes,2.44,47.425702,no,No
ATG4C,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.08,49.44295815,no,No
ATXN3,0,0,1,6,0,61,Azorean disease,non-essential,non-essential,No,NA,Yes,4.92,49.57926244,no,No
B4GALT4,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,4.82,48.89236339,no,No
BBS7,8,5,69,8,13,106,Bardet-Biedl syndrome 7,non-essential,non-essential,No,NA,Yes,4.19,48.43409055,no,No
BIN3,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,Yes,3.06,48.25347658,no,No
BMPR1A,39,26,601,293,21,196,COLORECTAL CANCER,non-essential,non-essential,No,NA,Yes,2.29,43.9655375,no,No
BMX,0,0,0,0,4,1,NA,non-essential,non-essential,No,NA,Yes,5.66,46.56003224,no,No
BTBD10,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.39,48.2380136,no,No
BTG3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.85,47.87105878,no,No
C6orf106,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.77,48.57702065,no,No
C9orf64,0,0,0,0,4,1,NA,non-essential,non-essential,No,NA,Yes,2.76,46.97757392,no,No
CAMK2B,7,1,4,0,1,10,"Intellectual disability, autosomal dominant 54",non-essential,non-essential,No,NA,Yes,5.84,49.06827802,no,No
CAPN6,0,0,1,0,1,1,NA,non-essential,non-essential,No,NA,Yes,4.74,47.93830626,no,No
CARD9,5,0,84,34,15,23,"Candidiasis, familial, 2",non-essential,non-essential,No,NA,Yes,5.26,48.28277747,no,No
CASP9,0,0,0,2,3,1,NA,non-essential,non-essential,No,NA,Yes,4.55,48.43180659,no,No
CBFA2T2,0,0,0,1,0,1,NA,non-essential,non-essential,No,NA,Yes,4.34,48.43189231,no,No
CBFB,NA,NA,NA,NA,NA,NA,Acute myeloid leukemia,non-essential,non-essential,No,NA,Yes,4.11,49.95674557,no,No
CBLC,0,0,0,1,0,18,NA,non-essential,non-essential,No,NA,Yes,4.04,47.47289872,no,No
CBWD1,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,Yes,4.3,48.52388159,no,No
CCDC5,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.57,48.26405046,no,No
CCM2,15,8,21,26,18,67,Cerebral cavernous malformation,non-essential,non-essential,No,NA,Yes,5.33,50.00940337,no,No
CCNDBP1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.84,46.33705314,no,No
CD2BP2,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,4.13,48.5816614,no,No
CDC25A,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,Yes,2.43,42.56443524,no,No
CDC25C,0,0,0,1,0,2,NA,non-essential,non-essential,No,NA,Yes,4.67,47.75224853,no,No
CDC45L,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.5,46.63966335,no,No
CDCA4,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,2.67,45.67276094,no,No
CDK5,1,0,1,7,0,26,Lissencephaly 7 with cerebellar hypoplasia,non-essential,non-essential,No,NA,Yes,5.05,49.29908194,no,No
CHD9,0,0,0,0,1,1,NA,non-essential,non-essential,No,NA,Yes,1.35,46.36465808,no,No
CHMP7,0,0,0,0,2,1,NA,non-essential,non-essential,No,NA,Yes,3.26,48.39571283,no,No
CKAP2,0,0,0,1,4,1,NA,non-essential,non-essential,No,NA,Yes,2.8,50.7730356,no,No
CLASP1,0,2,0,1,2,1,NA,non-essential,non-essential,No,NA,Yes,2.73,47.92089164,no,No
CLK3,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.34,45.8889125,no,No
CMIP,0,0,2,17,12,2,NA,non-essential,non-essential,No,NA,Yes,4.45,47.73484723,no,No
CNKSR1,0,0,2,3,14,5,NA,non-essential,non-essential,No,NA,Yes,3.41,46.03591174,no,No
COIL,0,0,0,1,1,1,NA,non-essential,non-essential,No,NA,Yes,4.28,47.34211491,no,No
CORO1C,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,5.55,48.73813824,no,No
CPT1A,24,29,44,67,21,129,Carnitine palmitoyltransferase I deficiency,non-essential,non-essential,No,NA,Yes,2.83,49.87666128,no,No
CRABP1,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,6.05,47.89379725,no,No
CRAT,0,3,3,2,1,7,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 8,non-essential,non-essential,No,NA,Yes,4.22,47.59141993,no,No
CSNK1D,2,0,0,0,2,6,"Advanced sleep phase syndrome, familial, 2",non-essential,non-essential,No,NA,Yes,3.17,45.67970521,no,No
CWF19L1,4,3,3,10,7,21,"Spinocerebellar ataxia, autosomal recessive 17",non-essential,non-essential,No,NA,Yes,4.41,49.66127542,no,No
CXXC1,0,0,1,1,5,1,NA,non-essential,non-essential,No,NA,Yes,3.35,45.88685001,no,No
CYP51A1,0,0,1,0,1,6,NA,non-essential,non-essential,No,NA,Yes,3.6,48.13090397,no,No
DAB2,0,0,0,7,8,1,NA,non-essential,non-essential,No,NA,Yes,4.59,48.81645774,no,No
DACH1,0,0,1,0,1,3,Anophthalmia-microphthalmia syndrome,non-essential,non-essential,No,NA,Yes,5.8,47.40389409,no,No
DBN1,0,0,0,1,7,1,NA,non-essential,non-essential,No,NA,Yes,5.15,48.11188021,no,No
DCUN1D5,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.68,46.15745665,no,No
DDX17,0,0,0,0,1,0,NA,non-essential,non-essential,No,NA,Yes,4.99,49.34369181,no,No
DDX31,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,3.73,48.0402178,no,No
DDX39,NA,NA,NA,NA,NA,NA,NA,non-essential,non-essential,No,NA,Yes,5.91,47.55148864,no,No
DDX3Y,NA,NA,NA,NA,NA,NA,"Spermatogenic failure, Y-linked 2",non-essential,non-essential,No,NA,Yes,5.46,41.92231036,no,No
DDX50,0,0,1,0,2,1,NA,non-essential,non-essential,No,NA,Yes,4.04,47.56513621,no,No
